category	catid	basearea	county	distance	dayspassed	categoryscore	output
dusthaze	8	"52.501578, -1.703127"	Cambridgeshire	31	234	0.03	no
floods	4	"51.438727,-2.347839"	Derbyshire	97	413	0.02	no
earthquakes	3	"53.621956, -0.568707"	Merseyside	96	312	0.02	no
severestorms	9	"52.388014, -1.958608"	Greater Manchester	86	180	0.03	no
volcanoes	6	"54.894791,-2.931089"	Derbyshire	89	96	0.04	no
volcanoes	6	"54.894791,-2.931089"	Northumberland	18	367	0.02	no
dusthaze	8	"52.25256,0.397124"	Derbyshire	54	616	0.01	no
droughts	1	"51.406423, 0.012595"	Essex	30	56	0.04	no
dusthaze	8	"52.352438,0.420868"	Cambridgeshire	46	520	0.02	no
tempextremes	5	"52.192267,0.137208"	Essex	81	635	0.01	no
wildfire	2	"53.744282, -2.473274"	Shropshire	27	530	0.02	no
earthquakes	3	"53.621041, -0.559832"	City of London	92	585	0.02	no
volcanoes	6	"54.893894,-2.929743"	Surrey	10	323	0.02	no
wildfire	2	"53.746292, -2.476193"	Tyne and Wear	11	133	0.04	no
dusthaze	8	"52.352438,0.420868"	Surrey	36	147	0.04	no
watercolor	7	"53.188607,-2.889651"	Cambridgeshire	63	437	0.02	no
wildfire	2	"53.746292, -2.476193"	0	87	379	0.02	no
droughts	1	"50.812852, -0.401733"	Suffolk	61	308	0.02	no
droughts	1	"51.590289, -0.681345"	Derbyshire	91	199	0.03	no
wildfire	2	"53.744284, -2.476638"	0	48	605	0.01	no
severestorms	9	"51.22787, -2.193757"	West Midlands	13	510	0.02	no
droughts	1	"51.720686, -1.629782"	City of London	20	103	0.04	no
droughts	1	"51.592305, -0.677504"	Derbyshire	77	563	0.02	no
wildfire	2	"53.744136, -2.480475"	County Durham	99	23	0.07	yes
volcanoes	6	"54.893532,-2.930093"	Tyne and Wear	12	623	0.01	no
droughts	1	"50.772348, -1.779397"	Kent	28	216	0.03	no
volcanoes	6	"54.893917,-2.931381"	West Midlands	69	118	0.04	no
wildfire	2	"53.745902, -2.472686"	Oxfordshire	95	561	0.02	no
tempextremes	5	"51.378849,-2.355562"	Cambridgeshire	25	624	0.01	no
earthquakes	3	"53.622259, -0.563994"	Oxfordshire	43	27	0.07	yes
droughts	1	"51.428039, 0.014365"	Kent	11	108	0.04	no
earthquakes	3	"50.736206, -4.392418"	East Sussex	96	196	0.03	no
droughts	1	"50.757431, -1.70737"	0	84	105	0.04	no
wildfire	2	"52.914939, -1.465616"	Northumberland	24	638	0.01	no
watercolor	7	"53.190142,-2.886673"	Oxfordshire	29	106	0.04	no
watercolor	7	"53.188509,-2.892222"	Tyne and Wear	44	250	0.03	no
tempextremes	5	"52.192267,0.137208"	Cheshire	38	652	0.01	no
droughts	1	"50.821384, -0.150627 "	Surrey	20	332	0.02	no
earthquakes	3	"53.621956, -0.568707"	Surrey	53	10	0.07	yes
floods	4	"52.501051, -1.707499"	Essex	39	297	0.03	no
droughts	1	"50.784212, -1.791718"	City of London	39	136	0.04	no
floods	4	"52.500997, -1.710946"	County Durham	14	547	0.02	no
droughts	1	"51.590289, -0.681345"	Oxfordshire	31	161	0.03	no
dusthaze	8	"52.352438,0.420868"	West Sussex	69	416	0.02	no
floods	4	"51.430593,-2.408768"	East Sussex	98	690	0.01	no
volcanoes	6	"54.894814,-2.930434"	Greater Manchester	69	173	0.03	no
floods	4	"52.500734, -1.706293"	Cambridgeshire	89	73	0.04	no
watercolor	7	"53.18945,-2.888651"	Shropshire	91	593	0.02	no
earthquakes	3	"53.655566, -0.787796"	Nottinghamshire	53	416	0.02	no
severestorms	9	"52.388014, -1.958608"	Suffolk	99	378	0.02	no
volcanoes	6	"54.893917,-2.931381"	Shropshire	77	363	0.02	no
volcanoes	6	"54.893917,-2.931381"	0	28	357	0.02	no
volcanoes	6	"54.894791,-2.931089"	Kent	88	659	0.01	no
tempextremes	5	"52.192267,0.137208"	Kent	74	402	0.02	no
watercolor	7	"53.190142,-2.886673"	Northumberland	83	128	0.04	no
wildfire	2	"53.58222, -2.445691"	Oxfordshire	19	77	0.04	no
earthquakes	3	"53.655566, -0.787796"	Nottinghamshire	92	318	0.02	no
earthquakes	3	"53.62355, -0.558431"	Cheshire	38	442	0.02	no
volcanoes	6	"54.893917,-2.931381"	Greater London	22	87	0.04	no
droughts	1	"51.303163, -0.086941"	Cheshire	56	101	0.04	no
tempextremes	5	"51.378849,-2.355562"	Derbyshire	100	683	0.01	no
volcanoes	6	"54.893917,-2.931381"	East Sussex	49	245	0.03	no
volcanoes	6	"54.893532,-2.930093"	County Durham	60	482	0.02	no
wildfire	2	"52.914939, -1.465616"	Derbyshire	78	472	0.02	no
dusthaze	8	"52.501578, -1.703127"	Tyne and Wear	73	559	0.02	no
watercolor	7	"53.18945,-2.888651"	Tyne and Wear	16	134	0.04	no
watercolor	7	"53.18945,-2.888651"	0	81	614	0.01	no
severestorms	9	"51.231182, -2.186065"	Surrey	100	10	0.07	yes
watercolor	7	"53.188607,-2.889651"	East Sussex	39	489	0.02	no
earthquakes	3	"53.621414, -0.564673"	Suffolk	34	552	0.02	no
tempextremes	5	"52.192267,0.137208"	West Midlands	56	154	0.03	no
floods	4	"51.438727,-2.347839"	County Durham	80	189	0.03	no
wildfire	2	"52.914939, -1.465616"	Merseyside	84	346	0.02	no
watercolor	7	"53.190042,-2.887631"	East Sussex	63	466	0.02	no
wildfire	2	"53.746292, -2.476193"	Cambridgeshire	76	471	0.02	no
watercolor	7	"53.190142,-2.886673"	Merseyside	97	132	0.04	no
volcanoes	6	"54.894814,-2.930434"	Essex	38	149	0.04	no
tempextremes	5	"52.192267,0.137208"	Kent	100	473	0.02	no
tempextremes	5	"51.378849,-2.355562"	Shropshire	11	662	0.01	no
watercolor	7	"53.188607,-2.889651"	Gloucestershire	84	541	0.02	no
earthquakes	3	"53.622259, -0.563994"	North Yorkshire	63	485	0.02	no
floods	4	"52.502267, -1.70836"	East Sussex	63	148	0.04	no
severestorms	9	"51.231182, -2.186065"	County Durham	82	306	0.02	no
watercolor	7	"53.187754,-2.887104"	Oxfordshire	42	424	0.02	no
volcanoes	6	"54.893894,-2.929743"	Lincolnshire	97	390	0.02	no
earthquakes	3	"50.748493, -4.414607"	Suffolk	20	238	0.03	no
volcanoes	6	"54.894346,-2.931702"	Greater London	12	217	0.03	no
earthquakes	3	"53.621367, -0.559812"	Surrey	14	91	0.04	no
severestorms	9	"52.388014, -1.958608"	Essex	84	605	0.01	no
dusthaze	8	"52.352438,0.420868"	Buckinghamshire	27	338	0.02	no
wildfire	2	"52.914939, -1.465616"	Cheshire	89	477	0.02	no
watercolor	7	"53.190042,-2.887631"	Suffolk	22	395	0.02	no
wildfire	2	"53.582669, -2.44393"	Essex	70	575	0.02	no
earthquakes	3	"53.622245, -0.559065"	North Yorkshire	29	402	0.02	no
volcanoes	6	"54.894346,-2.931702"	Buckinghamshire	32	569	0.02	no
severestorms	9	"51.22787, -2.193757"	Northumberland	24	242	0.03	no
wildfire	2	"53.802228, -1.75588"	West Midlands	97	201	0.03	no
droughts	1	"50.814132, -0.37069"	Merseyside	33	94	0.04	no
severestorms	9	"51.230545, -2.190775"	West Midlands	35	5	0.07	yes
dusthaze	8	"52.250454,0.398549"	Derbyshire	38	179	0.03	no
severestorms	9	"51.182197, -2.104447"	Kent	93	111	0.04	no
earthquakes	3	"53.622259, -0.563994"	Cheshire	58	671	0.01	no
watercolor	7	"53.18945,-2.888651"	North Yorkshire	96	540	0.02	no
dusthaze	8	"52.252009,0.397695"	Greater Manchester	78	550	0.02	no
tempextremes	5	"52.192267,0.137208,,"	Greater London	39	110	0.04	no
severestorms	9	"51.229835, -2.193459"	Gloucestershire	96	462	0.02	no
severestorms	9	"52.388014, -1.958608"	Surrey	45	261	0.03	no
dusthaze	8	"52.252009,0.397695"	Greater London	74	236	0.03	no
tempextremes	5	"51.378849,-2.355562"	Oxfordshire	71	39	0.07	yes
wildfire	2	"53.744136, -2.480475"	West Sussex	42	399	0.02	no
floods	4	"51.430593,-2.408768"	County Durham	99	253	0.03	no
wildfire	2	"53.74219, -2.474858"	Greater Manchester	65	456	0.02	no
volcanoes	6	"54.894814,-2.930434"	County Durham	73	633	0.01	no
tempextremes	5	"52.192267,0.137208"	Northumberland	83	550	0.02	no
droughts	1	"50.821384, -0.150627 "	East Sussex	66	404	0.02	no
dusthaze	8	"52.24757,0.401394"	Surrey	56	52	0.04	no
wildfire	2	"53.742346, -2.47627"	Nottinghamshire	20	667	0.01	no
wildfire	2	"52.914939, -1.465616"	Greater London	31	111	0.04	no
wildfire	2	"52.914939, -1.465616"	Greater London	71	320	0.02	no
floods	4	"52.500609, -1.707671"	Cheshire	17	637	0.01	no
floods	4	"52.501834, -1.708503"	East Sussex	26	388	0.02	no
severestorms	9	"51.22787, -2.193757"	West Midlands	58	29	0.07	yes
earthquakes	3	"53.621956, -0.568707"	0	86	472	0.02	no
floods	4	"52.502298, -1.709848"	Gloucestershire	12	528	0.02	no
floods	4	"51.438727,-2.347839"	Shropshire	11	209	0.03	no
severestorms	9	"51.230545, -2.190775"	Lincolnshire	37	172	0.03	no
tempextremes	5	"52.192267,0.137208,,"	Essex	69	6	0.07	yes
severestorms	9	"51.22787, -2.193757"	City of London	79	226	0.03	no
wildfire	2	"53.742346, -2.47627"	Cheshire	41	171	0.03	no
dusthaze	8	"52.352438,0.420868"	City of London	21	491	0.02	no
dusthaze	8	"52.250454,0.398549"	Nottinghamshire	74	552	0.02	no
tempextremes	5	"51.378849,-2.355562"	Nottinghamshire	58	307	0.02	no
watercolor	7	"53.18945,-2.888651"	Cambridgeshire	49	175	0.03	no
volcanoes	6	"54.893532,-2.930093"	Gloucestershire	11	477	0.02	no
volcanoes	6	"54.894814,-2.930434"	Lincolnshire	94	227	0.03	no
earthquakes	3	"50.757428, -4.44438"	County Durham	26	340	0.02	no
watercolor	7	"53.190142,-2.886673"	Greater London	90	689	0.01	no
tempextremes	5	"52.192267,0.137208,,"	West Midlands	80	258	0.03	no
wildfire	2	"53.547162, -2.007025"	Gloucestershire	41	117	0.04	no
floods	4	"52.501834, -1.708503"	North Yorkshire	98	440	0.02	no
watercolor	7	"53.18945,-2.888651"	0	89	94	0.04	no
floods	4	"51.430593,-2.408768"	Merseyside	87	629	0.01	no
earthquakes	3	"53.622679, -0.565709"	Shropshire	54	205	0.03	no
droughts	1	"50.772348, -1.779397"	Greater Manchester	42	584	0.02	no
wildfire	2	"52.914939, -1.465616"	Cheshire	96	617	0.01	no
tempextremes	5	"52.192267,0.137208,,"	Essex	61	305	0.02	no
tempextremes	5	"51.378849,-2.355562"	West Sussex	49	501	0.02	no
wildfire	2	"53.802228, -1.75588"	Tyne and Wear	18	24	0.07	yes
tempextremes	5	"52.192267,0.137208"	Tyne and Wear	20	418	0.02	no
volcanoes	6	"54.894791,-2.931089"	West Sussex	11	116	0.04	no
dusthaze	8	"52.501578, -1.703127"	Surrey	51	676	0.01	no
dusthaze	8	"52.252009,0.397695"	West Midlands	22	534	0.02	no
watercolor	7	"53.18945,-2.888651"	North Yorkshire	32	546	0.02	no
floods	4	"52.500218, -1.708418"	Nottinghamshire	93	538	0.02	no
volcanoes	6	"54.894346,-2.931702"	Surrey	28	554	0.02	no
dusthaze	8	"52.24757,0.401394"	Greater London	84	34	0.07	yes
dusthaze	8	"52.250454,0.398549"	City of London	25	237	0.03	no
wildfire	2	"53.802228, -1.75588"	Derbyshire	63	689	0.01	no
droughts	1	"50.772348, -1.779397"	Suffolk	42	671	0.01	no
severestorms	9	"51.229835, -2.193459"	Essex	67	366	0.02	no
volcanoes	6	"54.893894,-2.929743"	Oxfordshire	44	347	0.02	no
tempextremes	5	"52.192267,0.137208"	Gloucestershire	65	694	0.01	no
droughts	1	"50.814132, -0.37069"	Northumberland	28	348	0.02	no
watercolor	7	"53.188607,-2.889651"	Buckinghamshire	77	154	0.03	no
wildfire	2	"52.914939, -1.465616"	North Yorkshire	88	662	0.01	no
dusthaze	8	"52.352438,0.420868"	Oxfordshire	11	5	0.07	yes
floods	4	"51.430593,-2.408768"	Tyne and Wear	60	626	0.01	no
volcanoes	6	"54.894346,-2.931702"	Greater Manchester	48	406	0.02	no
wildfire	2	"53.745902, -2.472686"	0	62	575	0.02	no
dusthaze	8	"52.501578, -1.703127"	West Sussex	11	77	0.04	no
volcanoes	6	"54.893532,-2.930093"	West Midlands	77	196	0.03	no
dusthaze	8	"52.252009,0.397695"	Oxfordshire	35	22	0.07	yes
dusthaze	8	"52.24757,0.401394"	County Durham	14	46	0.07	yes
severestorms	9	"52.388014, -1.958608"	County Durham	16	372	0.02	no
volcanoes	6	"54.893894,-2.929743"	County Durham	25	642	0.01	no
floods	4	"52.500997, -1.710946"	North Yorkshire	70	595	0.02	no
droughts	1	"51.720989, -1.647817"	Merseyside	76	568	0.02	no
watercolor	7	"53.187754,-2.887104"	West Midlands	61	411	0.02	no
floods	4	"52.500609, -1.707671"	Kent	98	193	0.03	no
earthquakes	3	"50.750023, -4.395419"	Oxfordshire	52	536	0.02	no
severestorms	9	"51.182197, -2.104447"	Merseyside	13	55	0.04	no
earthquakes	3	"53.622679, -0.565709"	Surrey	15	647	0.01	no
droughts	1	"51.343614, -0.770118"	Derbyshire	18	230	0.03	no
droughts	1	"51.954236, -1.604901"	Nottinghamshire	58	662	0.01	no
watercolor	7	"53.18945,-2.888651"	West Midlands	86	260	0.03	no
tempextremes	5	"52.192267,0.137208"	Cheshire	67	628	0.01	no
dusthaze	8	"52.25256,0.397124"	Gloucestershire	74	302	0.02	no
wildfire	2	"53.745902, -2.472686"	Derbyshire	19	23	0.07	yes
volcanoes	6	"54.893917,-2.931381"	Northumberland	40	65	0.04	no
wildfire	2	"53.744282, -2.473274"	Greater Manchester	96	173	0.03	no
floods	4	"51.441301,-2.337974"	Surrey	84	469	0.02	no
tempextremes	5	"52.192267,0.137208"	Nottinghamshire	42	464	0.02	no
tempextremes	5	"52.192267,0.137208"	Derbyshire	14	72	0.04	no
volcanoes	6	"54.893917,-2.931381"	Surrey	75	227	0.03	no
severestorms	9	"51.230545, -2.190775"	North Yorkshire	78	683	0.01	no
watercolor	7	"53.190042,-2.887631"	Nottinghamshire	21	77	0.04	no
watercolor	7	"53.188509,-2.892222"	City of London	46	152	0.03	no
wildfire	2	"53.744136, -2.480475"	Tyne and Wear	51	474	0.02	no
watercolor	7	"53.188509,-2.892222"	Northumberland	69	441	0.02	no
severestorms	9	"51.229835, -2.193459"	Shropshire	87	21	0.07	yes
volcanoes	6	"54.893894,-2.929743"	Cambridgeshire	85	209	0.03	no
severestorms	9	"51.182197, -2.104447"	Gloucestershire	74	582	0.02	no
volcanoes	6	"54.894814,-2.930434"	Kent	53	598	0.02	no
floods	4	"52.501834, -1.708503"	West Midlands	92	197	0.03	no
watercolor	7	"53.18945,-2.888651"	Oxfordshire	95	269	0.03	no
droughts	1	"51.360609, 0.159776"	Buckinghamshire	57	207	0.03	no
volcanoes	6	"54.894814,-2.930434"	0	59	509	0.02	no
watercolor	7	"53.188509,-2.892222"	Buckinghamshire	76	84	0.04	no
floods	4	"51.438727,-2.347839"	County Durham	42	380	0.02	no
volcanoes	6	"54.893894,-2.929743"	Nottinghamshire	57	450	0.02	no
dusthaze	8	"52.24757,0.401394"	West Sussex	20	249	0.03	no
dusthaze	8	"52.250454,0.398549"	Oxfordshire	51	577	0.02	no
dusthaze	8	"52.501578, -1.703127"	Derbyshire	82	692	0.01	no
dusthaze	8	"52.501578, -1.703127"	Lincolnshire	75	358	0.02	no
severestorms	9	"51.182197, -2.104447"	North Yorkshire	25	461	0.02	no
dusthaze	8	"52.352438,0.420868"	Suffolk	19	263	0.03	no
tempextremes	5	"51.378849,-2.355562"	Nottinghamshire	49	234	0.03	no
volcanoes	6	"54.893532,-2.930093"	Gloucestershire	50	586	0.02	no
volcanoes	6	"54.893917,-2.931381"	Lincolnshire	75	174	0.03	no
watercolor	7	"53.18945,-2.888651"	Surrey	71	435	0.02	no
floods	4	"52.502298, -1.709848"	Northumberland	56	117	0.04	no
floods	4	"52.501381, -1.706348"	Nottinghamshire	14	556	0.02	no
wildfire	2	"53.744284, -2.476638"	Shropshire	76	348	0.02	no
droughts	1	"51.430134, -0.006175"	Oxfordshire	65	44	0.07	yes
wildfire	2	"53.802228, -1.75588"	City of London	96	14	0.07	yes
watercolor	7	"53.190142,-2.886673"	Shropshire	93	621	0.01	no
dusthaze	8	"52.24757,0.401394"	0	77	594	0.02	no
floods	4	"51.441506,-2.354437"	Nottinghamshire	81	455	0.02	no
severestorms	9	"51.229835, -2.193459"	Essex	76	378	0.02	no
volcanoes	6	"54.893894,-2.929743"	Shropshire	37	105	0.04	no
watercolor	7	"53.187754,-2.887104"	Gloucestershire	11	103	0.04	no
droughts	1	"51.720686, -1.629782"	North Yorkshire	19	131	0.04	no
watercolor	7	"53.188509,-2.892222"	Merseyside	40	404	0.02	no
severestorms	9	"51.230545, -2.190775"	Oxfordshire	12	190	0.03	no
earthquakes	3	"50.750926, -4.391852"	North Yorkshire	15	6	0.07	yes
dusthaze	8	"52.24757,0.401394"	North Yorkshire	12	175	0.03	no
